filename,category,extension,recommended_processing,retrieval_mode
470d35a23e9248408467cb7ebcb2d302.pdf,10_Public_Reference,pdf,pdf_text_and_ocr_if_needed,text_or_structured
Appendix A-1 - Standards Deviation Request Form.docx,02_Templates_Checklists_Forms,docx,text_structure_extraction,text_or_structured
Appendix A-2 - Standards Revision Request Form.docx,02_Templates_Checklists_Forms,docx,text_structure_extraction,text_or_structured
Appendix A-3 - Standard Software Revision Request Form.docx,02_Templates_Checklists_Forms,docx,text_structure_extraction,text_or_structured
Appendix B-1 - Matrix of Design Phases and Deliverables.xlsx,02_Templates_Checklists_Forms,xlsx,table_structured_extraction,text_or_structured
Appendix B-10 - Controller and Instrumentation Inventory Sheets.xlsx,02_Templates_Checklists_Forms,xlsx,table_structured_extraction,text_or_structured
Appendix B-2 - Control Systems Integrator Pre-Selection Document Template.docx,02_Templates_Checklists_Forms,docx,text_structure_extraction,text_or_structured
"Appendix B-3 - Vendor Package SCADA, Controls and Instrumentation Spec Template.docx",02_Templates_Checklists_Forms,docx,text_structure_extraction,text_or_structured
Appendix B-4 - Panel Hardware FAT Plan Template.docx,02_Templates_Checklists_Forms,docx,text_structure_extraction,text_or_structured
Appendix B-5 - Control System Software FAT Plan Template.docx,02_Templates_Checklists_Forms,docx,text_structure_extraction,text_or_structured
Appendix B-6 - IO and Software Variables Checklists.xlsx,02_Templates_Checklists_Forms,xlsx,table_structured_extraction,text_or_structured
Appendix B-7 - Panel Installation Check Sheet.xlsx,02_Templates_Checklists_Forms,xlsx,table_structured_extraction,text_or_structured
Appendix B-8 - Instrument Installation and CalibrationChecklist.xlsx,02_Templates_Checklists_Forms,xlsx,table_structured_extraction,text_or_structured
Appendix B-9 - Commissioning Flow Chart.pptx,02_Templates_Checklists_Forms,pptx,slide_text_and_image_extraction,text_or_structured
Appendix C-1 - Add Equipment and Maintenance Forms.xlsx,02_Templates_Checklists_Forms,xlsx,table_structured_extraction,text_or_structured
"Appendix D-1, C6642-1 Standard P&ID Legend Drawings (1).dwg",03_PIDs,dwg,render_to_image_then_vision_ocr,multimodal
"Appendix D-1, C6642-2 Standard P&ID Legend Drawings (2).dwg",03_PIDs,dwg,render_to_image_then_vision_ocr,multimodal
"Appendix D-1, C6642-3 Standard P&ID Legend Drawings (3).dwg",03_PIDs,dwg,render_to_image_then_vision_ocr,multimodal
"Appendix D-10, C6642-47 Typical Equipment IO Interface.dwg",03_PIDs,dwg,render_to_image_then_vision_ocr,multimodal
"Appendix D-2, C6642-10 Sample P&IDs, 07-Typical Chlorinators.dwg",03_PIDs,dwg,render_to_image_then_vision_ocr,multimodal
"Appendix D-2, C6642-11 Sample P&IDs, 08-Typical Hazardous Gas Monitoring.dwg",03_PIDs,dwg,render_to_image_then_vision_ocr,multimodal
"Appendix D-2, C6642-12 Sample P&IDs, 09-Typical Emergency Generator & Misc. Services.dwg",03_PIDs,dwg,render_to_image_then_vision_ocr,multimodal
"Appendix D-2, C6642-13 Sample P&IDs, 10-Typical Filter Backwash Station.dwg",03_PIDs,dwg,render_to_image_then_vision_ocr,multimodal
"Appendix D-2, C6642-14 Sample P&IDs, 11-Sample P&ID with Typical IO and Controls.dwg",03_PIDs,dwg,render_to_image_then_vision_ocr,multimodal
"Appendix D-2, C6642-4 Sample P&IDs, 01-Typical Well.dwg",03_PIDs,dwg,render_to_image_then_vision_ocr,multimodal
"Appendix D-2, C6642-5 Sample P&IDs, 02-Typical Valve Chamber.dwg",03_PIDs,dwg,render_to_image_then_vision_ocr,multimodal
"Appendix D-2, C6642-6 Sample P&IDs, 03-Typical Meter Chamber.dwg",03_PIDs,dwg,render_to_image_then_vision_ocr,multimodal
"Appendix D-2, C6642-7 Sample P&IDs, 04-Typical Lift Station (2 pumps).dwg",03_PIDs,dwg,render_to_image_then_vision_ocr,multimodal
"Appendix D-2, C6642-8 Sample P&IDs, 05-Typical Water Tower.dwg",03_PIDs,dwg,render_to_image_then_vision_ocr,multimodal
"Appendix D-2, C6642-9 Sample P&IDs, 06-Typical Chemical Metering.dwg",03_PIDs,dwg,render_to_image_then_vision_ocr,multimodal
Appendix D-4 - Process Control Narrative.docx,01_Standards_Reference,docx,text_structure_extraction,text_or_structured
Appendix D-5 - Approved Instrument and Equipment Manufacturers.docx,01_Standards_Reference,docx,text_structure_extraction,text_or_structured
"Appendix D-6, A2463-1 Standard Instr. Mounting Details - 01-Ultrasonic Level (Channel) .dwg",04_Instrumentation_Drawings,dwg,render_to_image_then_vision_ocr,multimodal
